Date,Description,TextAmount,ValueAmount,Frivolous Spending,
06/01/2018,Beginning balance as of 06/01/2018,,,,
06/01/2018,CHECKCARD DAIRY QUEEN,-6.45,-6.45,-6.45,
06/04/2018,CHECKCARD CARIBOU & EINSTEIN,-17.72,-17.72,-17.72,
06/04/2018,THE HOME DEPOT - PURCHASE,-96.43,-96.43,-96.43,
06/04/2018,CHECKCARD WALGREENS,-1.04,-1.04,,
06/04/2018,CHECKCARD MANDARIN CHEF,-30.67,-30.67,-30.67,
06/05/2018,DIRECTV Bill Payment,-150.00,-150,,
06/06/2018,WITHDRWL ATM,-43.00,-43,,
06/07/2018,Transfer In,1000.00,1000,,
06/07/2018,PETSMART PURCHASE,-64.96,-64.96,,
06/07/2018,SOUTHWEST GAS CORPORATION Bill Payment,-50.00,-50,,
06/08/2018,CHECKCARD USA GYM,-93.00,-93,,
06/08/2018,US BANK Bill Payment,-350.00,-350,,
06/11/2018,EPIC READING AND LEARNING,-7.99,-7.99,-7.99,
06/11/2018,XTREME AIR,-45.28,-45.28,-45.28,
06/11/2018,TARGET PURCHASE,-14.48,-14.48,,
06/11/2018,PETSMART,-33.71,-33.71,-33.71,
06/11/2018,Check,-110.00,-110,,
06/11/2018,MORTGAGE Bill Payment,-1000.00,-1000,,
06/11/2018,HOA Bill Payment,-50.00,-50,,
06/12/2018,ATM DEPOSIT,500.00,500.00,,
06/12/2018,CHECKCARD MCDONALD'S,-15.38,-15.38,-15.38,
06/12/2018,CHECKCARD POTBELLY,-9.70,-9.7,-9.7,
06/12/2018,COX COMMUNICATIONS Bill Payment,-100.00,-100,,
06/13/2018,CHECKCARD PET HOSPITAL,-30.95,-30.95,,
06/13/2018,CHECKCARD MICROSOFT *OFFICE 365,-7.53,-7.53,-7.53,
06/13/2018,CAR PAYMENT,-250,-250,,
06/14/2018,TRANSFER IN,1200.00,1200,,
06/14/2018,CHECKCARD BABBO ITALIAN EATERY,-46.97,-46.97,-46.97,
06/14/2018,CHECKCARD CLEANERS,-60.41,-60.41,,
06/14/2018,VERIZON WIRELESS Bill Payment,-150.00,-150,,
06/15/2018,CHECKCARD APPLEBEES,-42.73,-42.73,-42.73,
06/15/2018,CREDIT CARD Bill Payment,-250.00,-250,,
06/18/2018,CHECKCARD DONUTS,-4.92,-4.92,-4.92,
06/18/2018,CHECKCARD PEI WEI,-11.54,-11.54,-11.54,
06/18/2018,CHECKCARD FITNESS,-29.95,-29.95,,
06/18/2018,CHECKCARD CARIBOU & EINSTEIN,-18.14,-18.14,-18.14,
06/18/2018,TARGET PURCHASE,-125.65,-125.65,-125.65,
06/18/2018,CHECKCARD HARKINS,-35.50,-35.5,-35.5,
06/19/2018,CHECKCARD FRY'S,-49.87,-49.87,,
06/20/2018,Check,-30.00,-30,,
06/20/2018,Insurance Bill Payment,-140.00,-140,,
06/20/2018,CENTURYLINK Bill Payment,-40.00,-40,,
06/21/2018,NETFLIX COM,-20.49,-20.49,-20.49,
06/21/2018,TARGET PURCHASE,-41.57,-41.57,,
06/21/2018,MONITRONICS Bill Payment,-50.00,-50,,
06/22/2018,Check,-110.00,-110,,
06/22/2018,SALT RIVER PROJECT AZ Bill Payment,-150.00,-150,,
06/25/2018,PETCO PURCHASE,-28.39,-28.39,,
06/25/2018,WALGREENS PURCHASE,-58.89,-58.89,,
06/25/2018,OUTBACK STEAKHOUSE,-60.46,-60.46,-60.46,
06/25/2018,TACO BELL,-4.82,-4.82,-4.82,
06/25/2018,PETSMART,-84.61,-84.61,,
06/26/2018,XTREME AIR,-30.18,-30.18,-30.18,
06/26/2018,CHECKCARD BARROS PIZZA,-14.00,-14,-14,
06/26/2018,CHECKCARD PANERA BREAD,-13.01,-13.01,-13.01,
06/26/2018,SAFEWAY STORE PURCHASE,-23.31,-23.31,,
06/28/2018,WALGREENS PURCHASE,-53.29,-53.29,,
06/29/2018,TRADER JOE'S,-104.97,-104.97,,
06/29/2018,Check,-42.00,-42.00,,
